n,adm2,motion2,ms_ssim,psnr,ssim,vif_scale0,vif_scale1,vif_scale2,vif_scale3,vmaf,mse_avg,mse_u,mse_v,mse_y,psnr_avg,psnr_u,psnr_v,psnr_y,ssim_avg,ssim_u,ssim_v,ssim_y,input_file_dist,input_file_ref
955,0.99638,2.79018,0.99929,50.20159,0.99993,0.9158,0.99623,0.99832,0.99908,100.0,0.56,0.48,0.43,0.62,50.61,51.34,51.83,50.2,0.995,0.995,0.994,0.996,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
956,0.99225,2.79018,0.99889,48.56089,0.99982,0.89248,0.98958,0.9949,0.99719,100.0,0.84,0.82,0.58,0.91,48.91,49.0,50.53,48.56,0.994,0.992,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
957,0.9931,2.80222,0.99893,48.90971,0.99981,0.89853,0.99108,0.99549,0.99739,100.0,0.79,0.82,0.58,0.84,49.16,49.01,50.5,48.91,0.994,0.992,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
958,0.99194,2.80222,0.99883,48.47742,0.99979,0.89115,0.98901,0.99448,0.99687,100.0,0.88,0.95,0.64,0.92,48.69,48.38,50.08,48.48,0.994,0.991,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
959,0.99507,2.80716,0.99906,49.33316,0.99989,0.90183,0.99431,0.99744,0.99869,100.0,0.69,0.6,0.5,0.76,49.75,50.37,51.14,49.33,0.995,0.994,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
960,0.99158,2.80716,0.99883,48.42213,0.99979,0.89007,0.98887,0.99446,0.99685,99.98284,0.9,0.97,0.66,0.94,48.61,48.26,49.93,48.42,0.994,0.991,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
961,0.99283,2.809,0.99889,48.78886,0.99979,0.89687,0.99047,0.9951,0.99712,100.0,0.83,0.92,0.64,0.86,48.93,48.5,50.08,48.79,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
962,0.99198,2.809,0.99882,48.42238,0.99979,0.88977,0.98888,0.99451,0.99689,100.0,0.9,0.98,0.67,0.94,48.6,48.2,49.89,48.42,0.994,0.991,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
963,0.99553,2.81294,0.99908,49.49741,0.99989,0.90438,0.99475,0.9977,0.99888,100.0,0.67,0.59,0.51,0.73,49.87,50.39,51.08,49.5,0.995,0.994,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
964,0.99182,2.81294,0.99883,48.49187,0.99979,0.89079,0.98917,0.99463,0.997,100.0,0.89,0.98,0.68,0.92,48.64,48.24,49.83,48.49,0.994,0.991,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
965,0.99297,2.79842,0.9989,48.88619,0.9998,0.89776,0.99102,0.99548,0.99737,100.0,0.82,0.92,0.65,0.84,48.98,48.5,49.99,48.89,0.994,0.991,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
